4640 480 38
0 411 153 69
153 372 161 108
314 320 90 160
466 0 28 90
515 243 124 237
746 289 108 191
845 335 67 145
912 383 89 97
943 0 32 168
1066 347 114 133
1204 293 90 187
1488 371 260 58
1515 0 32 204
1706 259 312 36
1840 238 42 21
2074 299 256 44
2095 67 36 88
2400 256 32 224
2536 350 84 130
2684 295 88 185
2727 0 24 141
2772 219 81 261
2853 249 76 231
2929 315 84 165
3013 381 67 99
3140 0 20 124
3160 320 90 160
3315 233 185 42
3383 190 32 43
3450 314 210 51
3663 0 24 188
3750 260 109 220
3859 337 140 143
3999 411 154 69
4153 372 161 108
4314 320 90 160
4466 0 28 90 
4515 243 124 237



